Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
HEG,31.79,7996.99,7.14,13,10.5,6.21,22.43,19.88,40.88,13.91,13.15,12.42,14.23,24.03,-18.34,15.77,5.22,84.2,-36.44,37.64,12.6,-1.12,2,1.81,3.48,5,12.98,21.63,1.09,27.87,55.78,24.51,0,4.27,0.95,0.14,7.99,Y,Y,N,N,1,0,0,0,1,2
T R I L,411.72,12480.14,9.33,10.85,8.25,5.68,4.59,3.56,103.28,33.87,32.1,30.28,31.71,20.28,8.59,6.69,5.84,79.17,54.88,8.31,22.82,1.81,3,11.31,7.49,6,3.62,3.03,0.02,6.41,66.17,17.57,22.26,14.39,1.91,0.22,4.65,Y,Y,Y,Y,0,0,0,0,1,1
Volt.Transform.,144.95,12363.58,24.28,19.18,19.8,17.21,16.17,14.79,36.79,20.03,17.01,15.17,16.58,32.66,14.29,14.91,13.77,48.36,29.24,23.43,30.4,1.26,5,9.13,7.18,7,18.49,14.19,0.74,29.63,38,10.82,0,16.61,1.96,0,197.66,Y,Y,N,Y,1,1,1,0,0,3
Ujaas Energy,10700.63,7278.33,55.47,-30.67,-0.5,-6.84,-2.03,2.8,151.07,68.55,27.41,51.51,60.98,-8.67,-29.73,-33.93,-25.76,63.96,62.43,11.03,6.94,3.52,2,100.77,281.78,8,144.07,-59.85,0,0,93.79,6.22,0,107.88,1.72,0.21,4.23,Y,N,Y,Y,0,0,0,0,1,1
Insolation Ener,513.34,7209.43,68.51,28.5,,,,,130.56,68.08,68.08,68.08,68.08,,,,,,,,,,1,66.55,9.78,8,7.49,3.83,0,0,69.98,29.37,0,48.91,1.03,0.89,7.41,Y,Y,N,Y,0,0,0,0,1,1
TD Power Systems,56.18,5959.19,18.08,16.93,16.22,13.04,9.37,6.32,46.9,30.71,24.67,26.34,29.31,19.01,16.86,14.84,7.62,43.84,105.51,63.85,18.63,0.45,5,8.45,5.65,7,11.83,10.98,0.29,14.51,34.27,19.85,0,12.28,1.76,0,116.46,Y,Y,Y,Y,1,0,1,0,0,2
Shilchar Tech.,164.9,5468.3,55.53,42.96,43.98,33.66,29.61,29.06,50.72,18.81,17.99,18.57,15.14,49.91,27.37,20.25,14.73,154.9,63.87,33.28,36.3,0.79,5,21.29,11.86,7,23.16,15.42,0.17,10.38,64.01,32.22,0,28.54,2.11,0,518.43,Y,Y,Y,Y,0,1,1,0,1,3
Websol Energy,614.64,5392.53,-6.4,-11.07,-4.19,-0.11,-2.53,,664.92,63.23,13.81,10.71,7.96,-44.78,-17.72,-29.41,-21.86,,12.13,,6.36,61.62,4,48.67,39.28,6,-37.01,-123.05,0,0,27.71,71.8,93.04,25.17,0.15,1.7,-0.11,Y,N,N,Y,0,0,0,0,0,0
Sudarshan Chem.,97.88,6525.36,11.3,5.4,10.98,14.44,15.16,16.76,54.42,45.12,30.47,29.23,28.35,10.85,9.77,10.26,8.66,-7.48,6.91,1.13,12,7.88,2,5.68,2.54,9,4.4,1.95,0.49,8.91,30.55,41.29,0,6.81,0.88,0.41,5.98,Y,Y,Y,Y,0,0,0,0,0,0
TTK Prestige,5.51,11579.12,11.19,13.78,14.33,14.85,15.44,,52.92,42.73,43.57,44.93,45.87,6.87,4.91,6.31,,-0.38,3.21,5.78,,16.43,3,5.55,4.32,4,8.41,9.1,0.72,36.4,70.52,7.6,0,9.69,2.06,0.09,21.5,Y,Y,N,N,0,0,0,0,1,1
